root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),trap/nige_jouzu_no_wakagimi/houjou_tokiyuki_(nige_jouzu_no_wakagimi),1,1,202649,trap/nige_jouzu_no_wakagimi/houjou_tokiyuki_(nige_jouzu_no_wakagimi),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/omoi_ryuugi,3,3,706029,trap/omoi_ryuugi,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/the_legend_of_zelda,0,2,0,trap/the_legend_of_zelda,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/the_legend_of_zelda/link,2,2,308289,trap/the_legend_of_zelda/link,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),und,25,25,4496708,und,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),undressing,2,2,323923,undressing,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),vehicle motorcycle,2,2,661701,vehicle motorcycle,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),Weapons,2,34,513931,Weapons,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/axe,1,1,246091,Weapons/axe,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/axe dagger holding_weapon knife,1,1,213415,Weapons/axe dagger holding_weapon knife,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/axe dagger knife,1,1,264611,Weapons/axe dagger knife,keep,déjà sous une famille structurée
Garçons (Gelbooru),Weapons/baseball_bat,4,4,912868,Weapons/baseball_bat,keep,déjà sous une famille structurée
